"tPi_ns","Delta_g3_minus_g3prime","clean_infidelity","clean_leakage","qs_infidelity","qs_leakage","onef_infidelity","onef_leakage"
54.81173441673661,15.8,4.319877788816484e-12,4.3197667665140216e-12,0.000006664881998081351,9.072269826770896e-8,0.000003900456342142977,1.3785929335485836e-7
54.467006527323186,15.9,4.129141473185882e-12,4.128919428580957e-12,0.000008779042299419948,8.769382973172756e-8,0.000004869731892352402,1.281551418202964e-7
54.12658773652741,16,3.942624005048856e-12,3.942401960443931e-12,0.00000910793137859578,9.588213259359435e-8,0.000003901436739932595,1.3616618173950545e-7
53.790397750586244,16.1,3.7582159606586174e-12,3.758104938356155e-12,0.000009427235266871726,9.079122330168943e-8,0.000004202909590668713,1.3557005531628086e-7
53.45835825829868,16.2,3.5775826745521044e-12,3.577471652249642e-12,0.000008194633685909559,1.1587610964203243e-7,0.000004001442074050288,1.2553546971771913e-7
53.130392870210954,16.3,3.3988367675874542e-12,3.398614722982529e-12,0.000008700717337213338,9.392797064577963e-8,0.0000035490903691798303,1.3234502850345553e-7
52.806427060026735,16.400000000000002,3.226752198770555e-12,3.22653015416563e-12,0.000007809791265507293,8.831479524795683e-8,0.0000034915927564965753,1.116667244721592e-7
52.4863881081478,16.5,3.0524471839044054e-12,3.0522251392994804e-12,0.000009644791255213892,8.874992593999042e-8,0.000003870385142750732,1.2936051515310965e-7
52.17020504725533,16.6,2.886357819420482e-12,2.8864688417229445e-12,0.000008603368655208944,1.0483207159350805e-7,0.000003845967828554619,1.338364093000921e-7
51.85780860984662,16.7,2.7218227671710338e-12,2.722044811775959e-12,0.000009576435156760655,9.831587601538682e-8,0.000003778692148211915,1.527353993452385e-7
51.54913117764515,16.8,2.561284517810236e-12,2.561284517810236e-12,0.000008429957482679051,1.2071813881353587e-7,0.000003549752270886053,1.237481717514255e-7
51.244106732807005,16.900000000000002,2.41051623106614e-12,2.41051623106614e-12,0.00000779039030640416,1.0706730788123675e-7,0.00000410069788164491,1.283048723627056e-7
